LAST SEEN   TYPE      REASON                   OBJECT                                                             MESSAGE
10m         Normal    Pulling                  pod/elasticsearch-im-app-27238605-r9q9t                            Pulling image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4"
9m40s       Normal    Pulled                   pod/elasticsearch-im-app-27238605-r9q9t                            Successfully pulled image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4" in 22.633887456s
9m39s       Normal    Created                  pod/elasticsearch-im-app-27238605-r9q9t                            Created container indexmanagement
9m39s       Normal    Started                  pod/elasticsearch-im-app-27238605-r9q9t                            Started container indexmanagement
10m         Normal    SuccessfulCreate         job/elasticsearch-im-app-27238605                                  Created pod: elasticsearch-im-app-27238605-r9q9t
9m37s       Normal    Completed                job/elasticsearch-im-app-27238605                                  Job completed
4m14s       Normal    Scheduled                pod/elasticsearch-im-app-27238620-shgwr                            Successfully assigned openshift-logging/elasticsearch-im-app-27238620-shgwr to ocp-dgs4s-worker-b-6srxv
4m9s        Warning   DNSConfigForming         pod/elasticsearch-im-app-27238620-shgwr                            Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-b.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
4m12s       Normal    AddedInterface           pod/elasticsearch-im-app-27238620-shgwr                            Add eth0 [10.131.0.49/23] from openshift-sdn
4m12s       Normal    Pulled                   pod/elasticsearch-im-app-27238620-shgwr                            Container image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4" already present on machine
4m11s       Normal    Created                  pod/elasticsearch-im-app-27238620-shgwr                            Created container indexmanagement
4m11s       Normal    Started                  pod/elasticsearch-im-app-27238620-shgwr                            Started container indexmanagement
4m14s       Normal    SuccessfulCreate         job/elasticsearch-im-app-27238620                                  Created pod: elasticsearch-im-app-27238620-shgwr
4m10s       Normal    Completed                job/elasticsearch-im-app-27238620                                  Job completed
10m         Normal    SuccessfulCreate         cronjob/elasticsearch-im-app                                       Created job elasticsearch-im-app-27238605
9m37s       Normal    SawCompletedJob          cronjob/elasticsearch-im-app                                       Saw completed job: elasticsearch-im-app-27238605, status: Complete
4m14s       Normal    SuccessfulCreate         cronjob/elasticsearch-im-app                                       Created job elasticsearch-im-app-27238620
4m10s       Normal    SawCompletedJob          cronjob/elasticsearch-im-app                                       Saw completed job: elasticsearch-im-app-27238620, status: Complete
4m10s       Normal    SuccessfulDelete         cronjob/elasticsearch-im-app                                       Deleted job elasticsearch-im-app-27238605
10m         Normal    Scheduled                pod/elasticsearch-im-audit-27238605-vm887                          Successfully assigned openshift-logging/elasticsearch-im-audit-27238605-vm887 to ocp-dgs4s-worker-b-6srxv
9m37s       Warning   DNSConfigForming         pod/elasticsearch-im-audit-27238605-vm887                          Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-b.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
10m         Normal    AddedInterface           pod/elasticsearch-im-audit-27238605-vm887                          Add eth0 [10.131.0.42/23] from openshift-sdn
10m         Normal    Pulling                  pod/elasticsearch-im-audit-27238605-vm887                          Pulling image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4"
9m40s       Normal    Pulled                   pod/elasticsearch-im-audit-27238605-vm887                          Successfully pulled image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4" in 22.148197996s
9m39s       Normal    Created                  pod/elasticsearch-im-audit-27238605-vm887                          Created container indexmanagement
9m39s       Normal    Started                  pod/elasticsearch-im-audit-27238605-vm887                          Started container indexmanagement
10m         Normal    SuccessfulCreate         job/elasticsearch-im-audit-27238605                                Created pod: elasticsearch-im-audit-27238605-vm887
9m38s       Normal    Completed                job/elasticsearch-im-audit-27238605                                Job completed
4m14s       Normal    Scheduled                pod/elasticsearch-im-audit-27238620-w7dr4                          Successfully assigned openshift-logging/elasticsearch-im-audit-27238620-w7dr4 to ocp-dgs4s-worker-b-6srxv
4m10s       Warning   DNSConfigForming         pod/elasticsearch-im-audit-27238620-w7dr4                          Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-b.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
4m12s       Normal    AddedInterface           pod/elasticsearch-im-audit-27238620-w7dr4                          Add eth0 [10.131.0.47/23] from openshift-sdn
4m12s       Normal    Pulled                   pod/elasticsearch-im-audit-27238620-w7dr4                          Container image "registry.redhat.io/openshift-logging/elasticsearch6-rhel8@sha256:72c9ae22c549f8efd74353621d799b6e843e122d8011d13c624f247caccfd6f4" already present on machine
4m11s       Normal    Created                  pod/elasticsearch-im-audit-27238620-w7dr4                          Created container indexmanagement
4m11s       Normal    Started                  pod/elasticsearch-im-audit-27238620-w7dr4                          Started container indexmanagement
4m14s       Normal    SuccessfulCreate         job/elasticsearch-im-audit-27238620                                Created pod: elasticsearch-im-audit-27238620-w7dr4
4m11s       Normal    Completed                job/elasticsearch-im-audit-27238620                                Job completed
10m         Normal    SuccessfulCreate         cronjob/elasticsearch-im-audit                                     Created job elasticsearch-im-audit-27238605
9m38s       Normal    SawCompletedJob          cronjob/elasticsearch-im-audit                                     Saw completed job: elasticsearch-im-audit-27238605, status: Complete
