LAST SEEN   TYPE      REASON                   OBJECT                                                             MESSAGE
7m46s       Normal    Pulled                   pod/fluentd-nzvtp                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
7m45s       Normal    Created                  pod/fluentd-nzvtp                                                  Created container fluentd
7m45s       Normal    Started                  pod/fluentd-nzvtp                                                  Started container fluentd
40m         Normal    Scheduled                pod/fluentd-vgh6r                                                  Successfully assigned openshift-logging/fluentd-vgh6r to ocp-dgs4s-master-2
3m57s       Warning   DNSConfigForming         pod/fluentd-vgh6r                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-c.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
40m         Normal    AddedInterface           pod/fluentd-vgh6r                                                  Add eth0 [10.129.0.71/23] from openshift-sdn
40m         Normal    Pulling                  pod/fluentd-vgh6r                                                  Pulling image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972"
39m         Normal    Pulled                   pod/fluentd-vgh6r                                                  Successfully pulled image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" in 42.70962174s
37m         Normal    Created                  pod/fluentd-vgh6r                                                  Created container fluentd-init
37m         Normal    Started                  pod/fluentd-vgh6r                                                  Started container fluentd-init
37m         Normal    Pulled                   pod/fluentd-vgh6r                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
36m         Warning   BackOff                  pod/fluentd-vgh6r                                                  Back-off restarting failed container
8m9s        Normal    Scheduled                pod/fluentd-zxpbr                                                  Successfully assigned openshift-logging/fluentd-zxpbr to ocp-dgs4s-worker-c-qx4sr
8m4s        Warning   DNSConfigForming         pod/fluentd-zxpbr                                                  Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-c.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
8m7s        Normal    AddedInterface           pod/fluentd-zxpbr                                                  Add eth0 [10.129.2.12/23] from openshift-sdn
8m7s        Normal    Pulled                   pod/fluentd-zxpbr                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
8m7s        Normal    Created                  pod/fluentd-zxpbr                                                  Created container fluentd-init
8m7s        Normal    Started                  pod/fluentd-zxpbr                                                  Started container fluentd-init
8m6s        Normal    Pulled                   pod/fluentd-zxpbr                                                  Container image "registry.redhat.io/openshift-logging/fluentd-rhel8@sha256:6503438576301aaed44d3a62c981eb3e5f57839c119abde95cd36087f1b4b972" already present on machine
8m6s        Normal    Created                  pod/fluentd-zxpbr                                                  Created container fluentd
8m6s        Normal    Started                  pod/fluentd-zxpbr                                                  Started container fluentd
7m45s       Normal    Killing                  pod/fluentd-zxpbr                                                  Stopping container fluentd
40m         Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-lxbnn
40m         Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-vgh6r
40m         Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-27drm
40m         Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-84fg2
40m         Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-kxs8m
23m         Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-d7rsc
8m18s       Normal    SuccessfulDelete         daemonset/fluentd                                                  Deleted pod: fluentd-d7rsc
8m18s       Normal    SuccessfulDelete         daemonset/fluentd                                                  Deleted pod: fluentd-27drm
8m9s        Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-zxpbr
8m5s        Normal    SuccessfulDelete         daemonset/fluentd                                                  Deleted pod: fluentd-84fg2
8m1s        Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-dlrvz
7m59s       Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-6sts9
7m59s       Normal    SuccessfulDelete         daemonset/fluentd                                                  Deleted pod: fluentd-dlrvz
7m49s       Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-nzvtp
7m45s       Normal    SuccessfulDelete         daemonset/fluentd                                                  Deleted pod: fluentd-zxpbr
7m39s       Normal    SuccessfulCreate         daemonset/fluentd                                                  Created pod: fluentd-mqgk5
39m         Normal    Scheduled                pod/kibana-6bc7575f86-bxlm7                                        Successfully assigned openshift-logging/kibana-6bc7575f86-bxlm7 to ocp-dgs4s-worker-a-gwqkh
4m5s        Warning   DNSConfigForming         pod/kibana-6bc7575f86-bxlm7                                        Search Line limits were exceeded, some search paths have been omitted, the applied search line is: openshift-logging.svc.cluster.local svc.cluster.local cluster.local europe-west2-a.c.ferrous-cipher-325014.internal c.ferrous-cipher-325014.internal google.internal
39m         Normal    AddedInterface           pod/kibana-6bc7575f86-bxlm7                                        Add eth0 [10.128.2.17/23] from openshift-sdn
39m         Normal    Pulling                  pod/kibana-6bc7575f86-bxlm7                                        Pulling image "registry.redhat.io/openshift-logging/kibana6-rhel8@sha256:4e87aa8863dc949ec257b07c535466e31a2e7388f578dc9fef8f4d8cb5999886"
39m         Normal    Pulled                   pod/kibana-6bc7575f86-bxlm7                                        Successfully pulled image "registry.redhat.io/openshift-logging/kibana6-rhel8@sha256:4e87aa8863dc949ec257b07c535466e31a2e7388f578dc9fef8f4d8cb5999886" in 43.720918451s
39m         Normal    Created                  pod/kibana-6bc7575f86-bxlm7                                        Created container kibana
39m         Normal    Started                  pod/kibana-6bc7575f86-bxlm7                                        Started container kibana
39m         Normal    Pulling                  pod/kibana-6bc7575f86-bxlm7                                        Pulling image "registry.redhat.io/openshift4/ose-oauth-proxy@sha256:6703701548d3d01deee4b6ff22cfe4a2d05e4ee8a664c429e67766a1d427e8ba"
38m         Normal    Pulled                   pod/kibana-6bc7575f86-bxlm7                                        Successfully pulled image "registry.redhat.io/openshift4/ose-oauth-proxy@sha256:6703701548d3d01deee4b6ff22cfe4a2d05e4ee8a664c429e67766a1d427e8ba" in 22.196933998s
38m         Normal    Created                  pod/kibana-6bc7575f86-bxlm7                                        Created container kibana-proxy
38m         Normal    Started                  pod/kibana-6bc7575f86-bxlm7                                        Started container kibana-proxy
39m         Normal    SuccessfulCreate         replicaset/kibana-6bc7575f86                                       Created pod: kibana-6bc7575f86-bxlm7
39m         Normal    ScalingReplicaSet        deployment/kibana                                                  Scaled up replica set kibana-6bc7575f86 to 1
58m         Normal    CreatedSCCRanges         namespace/openshift-logging                                        created SCC ranges
